price_dist,seller_age_years,rating,num_sold,num_rating,num_images,is_trustworthy
0.01,8.5,4.9,5400,820,120,1
0.03,6.2,4.8,3200,640,95,1
0.02,10.1,4.7,8900,1100,180,1
0.04,5.8,4.9,1500,300,45,1
0.05,12.3,4.6,12000,1500,250,1
0.01,7.7,5.0,4300,900,140,1
0.02,9.4,4.8,6100,1000,160,1
0.06,4.2,4.7,1800,350,55,1
0.03,11.0,4.9,9800,1200,200,1
0.04,6.9,4.8,2700,500,80,1
0.02,13.5,4.9,15000,2100,300,1
0.03,5.1,4.7,2200,450,70,1
0.01,14.2,5.0,17000,2500,380,1
0.04,8.3,4.6,3200,650,100,1
0.05,6.5,4.8,2400,480,75,1
0.03,7.8,4.9,5000,880,130,1
0.02,10.8,4.7,7600,1100,170,1
0.06,4.7,4.6,1400,290,40,1
0.03,9.2,4.8,6100,900,140,1
0.01,15.0,5.0,20000,3000,450,1
0.02,6.4,4.7,3500,600,90,1
0.04,7.5,4.9,4200,750,115,1
0.03,12.1,4.8,9800,1300,210,1
0.05,5.3,4.7,2100,380,60,1
0.02,8.8,4.9,5300,820,125,1
0.03,9.7,4.8,7200,1050,160,1
0.04,6.0,4.7,1800,350,50,1
0.01,11.5,5.0,12000,1800,280,1
0.02,7.1,4.8,4100,700,110,1
0.03,13.2,4.9,15000,2200,330,1
0.04,6.8,4.6,2500,450,65,1
0.02,10.5,4.8,8400,1200,180,1
0.03,8.9,4.9,6100,900,150,1
0.05,5.9,4.7,2300,420,60,1
0.02,9.8,4.8,7000,1000,150,1
0.03,11.2,4.9,9500,1400,220,1
0.04,6.3,4.7,2700,500,75,1
0.01,14.8,5.0,18000,2600,390,1
0.02,7.6,4.8,4800,800,120,1
0.03,12.7,4.9,14000,2000,310,1
0.04,6.6,4.7,3000,550,80,1
0.02,9.0,4.8,6500,950,145,1
0.03,10.3,4.9,8200,1200,190,1
0.05,5.5,4.6,2100,390,55,1
0.02,8.4,4.8,5200,780,120,1
0.03,13.8,4.9,16000,2300,350,1
0.04,6.1,4.7,2400,420,65,1
0.02,9.6,4.8,6900,1000,155,1
0.03,11.9,4.9,11000,1700,260,1
0.04,7.2,4.8,3200,600,95,1
0.35,0.8,2.1,120,25,2,0
0.40,1.2,1.9,75,18,1,0
0.50,0.5,2.5,90,30,2,0
0.60,0.3,1.2,40,8,0,0
0.45,1.1,2.0,150,35,3,0
0.70,0.2,1.0,20,5,0,0
0.30,1.5,2.8,300,60,5,0
0.55,0.7,1.7,80,20,1,0
0.65,0.4,1.4,60,12,0,0
0.48,1.0,2.2,200,40,2,0
0.75,0.1,1.1,10,3,0,0
0.52,0.6,1.8,70,15,1,0
0.60,0.9,2.0,120,28,2,0
0.42,1.3,2.4,250,55,4,0
0.68,0.3,1.5,35,9,0,0
0.38,1.4,2.7,400,70,6,0
0.58,0.5,1.6,90,18,1,0
0.62,0.2,1.3,50,10,0,0
0.47,1.1,2.1,160,30,2,0
0.72,0.4,1.0,15,4,0,0
0.36,1.6,2.9,500,85,7,0
0.49,0.8,2.3,220,45,3,0
0.66,0.2,1.2,30,6,0,0
0.44,1.0,2.0,180,35,2,0
0.59,0.6,1.7,85,17,1,0
0.63,0.3,1.4,45,9,0,0
0.41,1.2,2.5,260,50,4,0
0.69,0.4,1.1,25,5,0,0
0.53,0.7,1.9,100,22,1,0
0.46,1.5,2.6,320,65,5,0
0.61,0.3,1.3,55,12,0,0
0.37,1.7,2.8,420,75,6,0
0.54,0.9,2.0,140,30,2,0
0.67,0.2,1.5,40,8,0,0
0.43,1.3,2.4,240,48,3,0
0.71,0.1,1.2,18,4,0,0
0.51,0.8,1.8,95,20,1,0
0.64,0.4,1.4,60,11,0,0
0.39,1.6,2.7,380,70,5,0
0.57,0.5,1.6,80,16,1,0
0.73,0.2,1.1,22,5,0,0
0.45,1.2,2.2,210,42,3,0
0.56,0.6,1.7,88,19,1,0
0.65,0.3,1.3,48,9,0,0
0.34,1.8,3.0,600,90,8,0
0.50,0.9,2.1,160,32,2,0
0.62,0.2,1.4,38,7,0,0
0.41,1.4,2.6,300,60,4,0
0.70,0.1,1.0,12,3,0,0
