price_dist,seller_age_years,rating,num_sold,num_rating,num_images,is_trustworthy
0.01,8.5,4.9,5200,1000,150,1
0.02,6.3,4.8,3400,850,120,1
0.03,10.2,4.7,7800,1200,180,1
0.04,4.9,4.6,2100,600,90,1
0.05,7.1,4.9,6500,1100,170,1
0.02,12.4,4.8,9200,1500,220,1
0.03,5.6,4.7,3100,720,100,1
0.01,9.8,4.9,8700,1400,210,1
0.06,6.9,4.6,2600,500,75,1
0.04,8.1,4.8,4100,950,140,1
0.02,11.0,4.9,9900,1600,250,1
0.05,7.5,4.7,5300,1000,160,1
0.03,9.2,4.8,6000,1200,180,1
0.04,6.7,4.6,3500,800,120,1
0.02,10.5,4.9,8800,1400,220,1
0.05,5.4,4.7,2400,600,85,1
0.03,8.9,4.8,7200,1300,200,1
0.01,13.2,5.0,10500,1800,300,1
0.06,6.1,4.6,2900,700,100,1
0.04,7.8,4.7,4500,900,140,1
0.02,9.6,4.9,8000,1500,240,1
0.03,8.4,4.8,6700,1100,170,1
0.05,6.2,4.7,3200,750,110,1
0.01,14.0,5.0,12000,2000,350,1
0.04,7.3,4.6,3900,850,125,1
0.03,10.8,4.9,9100,1600,260,1
0.02,8.7,4.8,7400,1200,180,1
0.05,6.5,4.7,2800,650,95,1
0.03,9.9,4.8,8300,1400,220,1
0.02,11.7,4.9,9700,1700,280,1
0.04,7.0,4.6,3600,800,120,1
0.03,8.3,4.8,6900,1300,200,1
0.05,6.8,4.7,3000,700,105,1
0.02,12.1,4.9,10200,1800,290,1
0.04,7.6,4.6,4200,900,135,1
0.03,9.4,4.8,7600,1350,210,1
0.01,15.2,5.0,13000,2200,400,1
0.06,6.4,4.6,3100,720,105,1
0.02,10.3,4.9,8900,1600,250,1
0.03,8.8,4.8,7200,1250,190,1
0.05,6.0,4.7,2700,650,100,1
0.02,11.5,4.9,9800,1750,290,1
0.04,7.4,4.6,4100,850,130,1
0.03,9.7,4.8,8200,1450,230,1
0.02,13.0,4.9,11000,1900,320,1
0.05,6.6,4.7,2900,700,110,1
0.03,8.6,4.8,7000,1200,190,1
0.04,7.2,4.6,3800,820,125,1
0.02,10.9,4.9,9300,1650,270,1
0.03,9.1,4.8,7600,1350,210,1
0.25,0.8,2.1,45,20,1,0
0.35,1.2,2.8,60,25,2,0
0.40,0.5,1.9,30,15,0,0
0.30,1.0,3.0,80,40,3,0
0.45,0.3,1.5,20,10,0,0
0.50,0.6,2.2,55,30,2,0
0.28,1.4,3.2,90,50,4,0
0.60,0.2,1.0,10,5,0,0
0.33,1.1,2.9,70,35,3,0
0.48,0.4,1.8,25,12,0,0
0.38,0.9,2.5,50,28,1,0
0.55,0.7,1.7,35,18,0,0
0.42,1.3,2.6,65,33,2,0
0.29,1.0,3.1,85,45,3,0
0.47,0.5,1.6,22,11,0,0
0.36,1.2,2.7,58,30,2,0
0.52,0.4,1.4,18,9,0,0
0.31,1.5,3.3,95,55,4,0
0.44,0.6,2.0,40,22,1,0
0.58,0.3,1.2,15,7,0,0
0.27,1.1,3.0,75,38,3,0
0.49,0.8,1.9,28,14,0,0
0.41,0.9,2.4,52,27,1,0
0.53,0.5,1.5,19,10,0,0
0.34,1.2,2.8,68,34,2,0
0.46,0.4,1.7,24,12,0,0
0.39,1.0,2.6,60,30,2,0
0.57,0.6,1.3,16,8,0,0
0.32,1.3,3.2,88,44,3,0
0.43,0.7,2.2,48,25,1,0
0.50,0.2,1.1,12,6,0,0
0.37,1.1,2.9,70,36,3,0
0.54,0.5,1.6,20,10,0,0
0.45,0.8,2.0,42,21,1,0
0.59,0.3,1.4,14,7,0,0
0.28,1.4,3.1,92,50,4,0
0.47,0.6,1.8,30,15,0,0
0.35,1.0,2.7,66,34,2,0
0.51,0.4,1.5,21,11,0,0
0.33,1.2,3.0,80,40,3,0
0.48,0.5,1.7,26,13,0,0
0.40,0.9,2.5,55,28,1,0
0.56,0.6,1.2,17,9,0,0
0.30,1.3,3.2,90,48,4,0
0.44,0.7,2.1,46,23,1,0
0.52,0.4,1.6,23,12,0,0
0.38,1.1,2.8,72,38,3,0
0.60,0.2,1.0,8,4,0,0
0.42,0.8,2.3,50,25,1,0
0.55,0.5,1.5,18,9,0,0
